dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
HandOutlines,lr_classifier,42,1000,370,2709,2,0.14184358400234487,0.4915200000000368,0.8432432432432433,0.8308904649330182,0.8437373543756522,ok,
HandOutlines,rf_classifier,42,1000,370,2709,2,3.0056840420002118,16.072703999999987,0.9081081081081082,0.9002252466609562,0.9081081081081082,ok,
HandOutlines,dtw_1nn,42,1000,370,2709,2,3236.1457737500023,-269.582336,0.8810810810810811,0.8660346927355913,0.8786542442511635,ok,
Haptics,lr_classifier,42,155,308,1092,5,0.07778879201214295,12.533760000000001,0.37337662337662336,0.35927409748203665,0.3618301876049471,ok,
Haptics,rf_classifier,42,155,308,1092,5,0.2458766670024488,11.960319999999996,0.44805194805194803,0.41295443875373455,0.4149617713166049,ok,
Haptics,dtw_1nn,42,155,308,1092,5,99.27008733300318,-14.204927999999995,0.37662337662337664,0.37899970419010043,0.37992585222809494,ok,
Herring,lr_classifier,42,64,64,512,2,0.005506957997567952,0.1802240000000097,0.640625,0.6133438402941949,0.6326011294982926,ok,
Herring,rf_classifier,42,64,64,512,2,0.18929591600317508,2.1463039999999864,0.578125,0.5155592935239698,0.5482022708158116,ok,
Herring,dtw_1nn,42,64,64,512,2,0.8453167080006097,0.016384000000016385,0.53125,0.5195195195195195,0.5335960960960962,ok,
HouseTwenty,lr_classifier,42,40,119,2000,2,0.005935833003604785,2.097151999999994,0.7226890756302521,0.718796992481203,0.724079105326341,ok,
HouseTwenty,rf_classifier,42,40,119,2000,2,0.20174229200347327,0.8683519999999874,0.7142857142857143,0.7118233618233618,0.716076516076516,ok,
HouseTwenty,dtw_1nn,42,40,119,2000,2,42.59062391601037,-58.179584000000006,0.8403361344537815,0.838095238095238,0.8411364545818326,ok,
InlineSkate,lr_classifier,42,100,550,1882,7,0.33298179200210143,16.859136000000007,0.2727272727272727,0.27186219081749996,0.2700588970067872,ok,
InlineSkate,rf_classifier,42,100,550,1882,7,0.2296366670052521,10.059776,0.3472727272727273,0.3596736283404348,0.34680510680811977,ok,
InlineSkate,dtw_1nn,42,100,550,1882,7,332.80095049999363,0.03276800000000435,0.3836363636363636,0.3935833081568156,0.3843411361365249,ok,
InsectEPGRegularTrain,lr_classifier,42,62,249,601,3,0.008494458001223393,1.4745599999999968,1.0,1.0,1.0,ok,
