dataset,model,seed,n_train,n_test,series_length,n_classes,fit_time,predict_time,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
DistalPhalanxOutlineCorrect,mrsqm,42,600,276,80,2,2.27503741698456,0.0,2.2753464999841526,80.23244799999975,0.7753623188405797,0.7634242105845268,0.7722815167099855,ok,
DistalPhalanxTW,hydra,42,400,139,80,6,0.47076949998154305,0.0,0.47194283301359974,0.16384000000016385,0.7050359712230215,0.49735959870941726,0.6561133126166944,ok,
DistalPhalanxTW,mrsqm,42,400,139,80,6,1.5921565829776227,0.0,1.59238008398097,-1181.9089920000001,0.7050359712230215,0.5823127673245375,0.6927035540937962,ok,
DodgerLoopDay,hydra,42,67,77,288,7,0.47122945898445323,0.0,0.47232674999395385,70.17267200000003,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,
DodgerLoopDay,mrsqm,42,67,77,288,7,1.664881000004243,0.0,1.665253915998619,33.341440000000034,0.5714285714285714,0.5635537117344898,0.5705117536925317,ok,
DodgerLoopGame,hydra,42,17,127,288,2,0.4343430410081055,0.0,0.4356820830143988,6.848512000000028,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,
DodgerLoopGame,mrsqm,42,17,127,288,2,1.5313615839986596,0.0,1.5317495839844923,23.986176,0.8818897637795275,0.8808257741632781,0.8810917715673404,ok,
DodgerLoopWeekend,hydra,42,18,126,288,2,0.42319737499929033,0.0,0.4244509590207599,3.194880000000012,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,
DodgerLoopWeekend,mrsqm,42,18,126,288,2,1.5042077079997398,0.0,1.5045942919969093,21.25004799999988,0.9682539682539683,0.961111111111111,0.9687830687830687,ok,
Earthquakes,hydra,42,322,139,512,2,2.4041884999896865,0.0,2.4051610410097055,546.9143039999999,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,
Earthquakes,mrsqm,42,322,139,512,2,8.9482127079973,0.0,8.94868916698033,156.89318400000002,0.7697841726618705,0.5327731092436975,0.6979626382927272,ok,
ECG200,hydra,42,100,100,96,2,0.19201620802050456,0.0,0.19330433299182914,0.16383999999993648,0.89,0.8765570643025473,0.887963191560992,ok,
ECG200,mrsqm,42,100,100,96,2,0.8184599590022117,0.0,0.8186662909865845,15.024128000000019,0.87,0.8518518518518519,0.8663703703703703,ok,
ECG5000,hydra,42,500,4500,140,5,7.362081083992962,0.0,7.363058166985866,2195.931136,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,
ECG5000,mrsqm,42,500,4500,140,5,19.07694170801551,0.0,19.077220125007443,45.285375999999815,0.9486666666666667,0.588882699938078,0.9398073837477665,ok,
ECGFiveDays,hydra,42,23,861,136,2,1.2302011669962667,0.0,1.2311406660010107,77.13587199999984,1.0,1.0,1.0,ok,
ECGFiveDays,mrsqm,42,23,861,136,2,3.454898374999175,0.0,3.4552111249940936,-1947.8118399999998,1.0,1.0,1.0,ok,
ElectricDevices,hydra,42,8926,7711,96,7,25.956143416988198,0.0,25.95706612500362,5922.471936,0.7429645960316431,0.6651503308140149,0.728920188549814,ok,
ElectricDevices,mrsqm,42,8926,7711,96,7,51.78923470902373,0.0,51.78996283299057,-3753.8529280000002,0.7484113603942419,0.6662661824033167,0.7360206220518347,ok,
EOGHorizontalSignal,hydra,42,362,362,1250,12,9.065096500009531,0.0,9.06683554200572,1520.6973439999992,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,
EOGHorizontalSignal,mrsqm,42,362,362,1250,12,34.07711566699436,0.0,34.07776929199463,-2465.2513280000003,0.6464088397790055,0.6593087197403806,0.6586324428430906,ok,
EOGVerticalSignal,hydra,42,362,362,1250,12,9.07318395798211,0.0,9.074573958991095,1600.7823359999998,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,
