dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
ProximalPhalanxOutlineCorrect,aeon_hydra,42,600,291,80,2,0.9709414999815635,60.211200000000645,0.9072164948453608,0.8840825600094422,0.9031235679128522,ok,,
ProximalPhalanxOutlineAgeGroup,aeon_hydra,42,400,205,80,3,0.6000463749805931,0.06553600000006554,0.8634146341463415,0.7894494737329601,0.865436708542904,ok,,
ProximalPhalanxTW,aeon_hydra,42,400,205,80,6,0.6008566659875214,0.06553600000006554,0.8,0.4992828531621634,0.7705464958366556,ok,,
RefrigerationDevices,aeon_hydra,42,375,375,720,3,5.534043291991111,50.823167999999896,0.49333333333333335,0.48934894589377653,0.48934894589377653,ok,,
Rock,aeon_hydra,42,20,50,2844,4,2.1605892079824116,37.076992000000246,0.92,0.9193970503181029,0.9202955465587044,ok,,
ScreenType,aeon_hydra,42,375,375,720,3,5.388998125010403,0.0,0.5013333333333333,0.5005748712199294,0.5005748712199294,ok,,
SemgHandGenderCh2,aeon_hydra,42,300,600,1500,2,14.727633542002877,1212.6126080000004,0.8283333333333334,0.8170509681793019,0.8306806710499438,ok,,
SemgHandMovementCh2,aeon_hydra,42,450,450,1500,6,13.627194708999014,-1536.1146879999997,0.4666666666666667,0.46733168104109096,0.467331681041091,ok,,
SemgHandSubjectCh2,aeon_hydra,42,450,450,1500,5,13.730352125014178,0.016384000000471133,0.7666666666666667,0.7656315471160837,0.7656315471160837,ok,,
ShakeGestureWiimoteZ,aeon_hydra,42,50,50,385,10,0.4257652079977561,0.0,0.92,0.9206099456099455,0.9206099456099457,ok,,
ShapeletSim,aeon_hydra,42,20,180,500,2,0.9507804580207448,0.3112959999998566,0.9833333333333333,0.9833287024173382,0.983328702417338,ok,,
ShapesAll,aeon_hydra,42,600,600,512,60,6.311488915991504,643.0883840000006,0.925,0.9236635952514602,0.9236635952514606,ok,,
SmallKitchenAppliances,aeon_hydra,42,375,375,720,3,5.495610750018386,-1905.1970560000004,0.8106666666666666,0.8096050469591326,0.8096050469591325,ok,,
SmoothSubspace,aeon_hydra,42,150,150,15,3,0.03944929101271555,0.08192000000008193,0.96,0.9599966663332999,0.9599966663332999,ok,,
SonyAIBORobotSurface1,aeon_hydra,42,20,601,70,2,0.5982358339824714,5.308415999999852,0.9201331114808652,0.9198292536517041,0.9205273054213986,ok,,
SonyAIBORobotSurface2,aeon_hydra,42,27,953,65,2,0.8695311670016963,15.958016000000043,0.9401888772298006,0.9374332677961181,0.9405057723146741,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,432.2282353749906,6457.26208,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
Strawberry,aeon_hydra,42,613,370,235,2,3.8012387079943437,591.3640959999993,0.9756756756756757,0.9737172353372955,0.9757726281676746,ok,,
SwedishLeaf,aeon_hydra,42,500,625,128,15,1.5608817499887664,64.24166399999922,0.976,0.9761072240505483,0.9758371471811459,ok,,
Symbols,aeon_hydra,42,25,995,398,6,4.471646999998484,874.3813119999995,0.978894472361809,0.9792164935978702,0.9789965909862184,ok,,
SyntheticControl,aeon_hydra,42,300,300,60,6,0.49146754198591225,-18.54668800000036,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,
ToeSegmentation1,aeon_hydra,42,40,228,277,2,0.7522933330037631,1.1632639999988896,0.956140350877193,0.9561369757599076,0.9561572264636197,ok,,
ToeSegmentation2,aeon_hydra,42,36,130,343,2,0.569925207993947,0.2785279999989143,0.8923076923076924,0.8317307692307692,0.8954142011834318,ok,,
Trace,aeon_hydra,42,100,100,275,4,0.5730036250024568,3.145727999999508,1.0,1.0,1.0,ok,,
TwoLeadECG,aeon_hydra,42,23,1139,82,2,1.3743180840101559,39.38713599999937,0.9991220368744512,0.9991220368744512,0.9991220368744512,ok,,
TwoPatterns,aeon_hydra,42,1000,4000,128,4,9.570748416997958,667.4841600000018,0.986,0.9860323304610914,0.9859893530687305,ok,,
UMD,aeon_hydra,42,36,144,150,3,0.3120901249931194,0.2293759999993199,0.9861111111111112,0.9861103575088924,0.9861103575088924,ok,,
UWaveGestureLibraryAll,aeon_hydra,42,896,3582,945,8,39.70807804199285,6296.4039680000005,0.9734785036292574,0.9732585758858217,0.9734231117187656,ok,,
UWaveGestureLibraryX,aeon_hydra,42,896,3582,315,8,15.506779165996704,-6878.461951999999,0.8573422668900056,0.8532324964409437,0.8547051253881247,ok,,
UWaveGestureLibraryY,aeon_hydra,42,896,3582,315,8,14.688185000006342,-1179.7299199999998,0.7984366275823562,0.7964024006082038,0.7963159187057636,ok,,
UWaveGestureLibraryZ,aeon_hydra,42,896,3582,315,8,14.374560249998467,6.6519039999993765,0.8009491903964265,0.7973432433282948,0.7963867906987073,ok,,
Wafer,aeon_hydra,42,1000,6164,152,2,13.383323707996169,222.52748799999972,1.0,1.0,1.0,ok,,
Wine,aeon_hydra,42,57,54,234,2,0.2763881660066545,0.049152000000503904,0.8888888888888888,0.8888888888888888,0.8888888888888888,ok,,
WordSynonyms,aeon_hydra,42,267,638,270,25,2.7405545839865226,81.19910400000026,0.7445141065830722,0.6150125039719267,0.722018848122313,ok,,
Worms,aeon_hydra,42,181,77,900,5,2.0454103329975624,82.80473600000005,0.7402597402597403,0.720915833025422,0.729532764572793,ok,,
WormsTwoClass,aeon_hydra,42,181,77,900,2,2.0320442079973873,0.03276800000003277,0.7662337662337663,0.7629958960328318,0.766953292945085,ok,,
Yoga,aeon_hydra,42,300,3000,426,2,14.020799375022762,1050.820608,0.9326666666666666,0.9322754898963077,0.9326426470404167,ok,,
