dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
Chinatown,cpu_optimised_hydra,42,20,343,24,2,0.07572216700646095,5.750784000000067,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,2000
Crop,cpu_optimised_hydra,42,7200,16800,46,24,14.488715249986853,1812.545536,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,2000
SyntheticControl,cpu_optimised_hydra,42,300,300,60,6,0.37668337498325855,-43.82719999999972,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,2000
SwedishLeaf,cpu_optimised_hydra,42,500,625,128,15,0.5530924170161597,32.84992000000011,0.976,0.9761072240505483,0.9758371471811459,ok,,2000
InsectWingbeatSound,cpu_optimised_hydra,42,220,1980,256,11,2.1529052919941023,168.05068800000026,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,2000
FaceFour,cpu_optimised_hydra,42,24,88,350,4,0.17871341700083576,0.08192000000008193,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,2000
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,2.0336998330021743,42.696703999999954,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,2000
UWaveGestureLibraryAll,cpu_optimised_hydra,42,896,3582,945,8,18.750559790991247,-1517.436928,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,2000
PigCVP,cpu_optimised_hydra,42,104,208,2000,52,2.926753582985839,32.68607999999995,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,2000
PigArtPressure,cpu_optimised_hydra,42,104,208,2000,52,2.8779251250089146,-0.03276800000003277,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,2000
PigAirwayPressure,cpu_optimised_hydra,42,104,208,2000,52,2.8663576249964535,0.0,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,2000
HandOutlines,cpu_optimised_hydra,42,1000,370,2709,2,16.384822416002862,-415.399936,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,2000
Rock,cpu_optimised_hydra,42,20,50,2844,4,1.3267250829958357,0.016384000000016385,0.92,0.9193970503181029,0.9202955465587044,ok,,2000
SmoothSubspace,mps_hydra,42,150,150,15,3,0.05589258301188238,18.628607999999986,0.96,0.9599966663332999,0.9599966663332999,ok,,2200
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.3764866669953335,37.55212800000004,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,2200
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.04702150000957772,11.747328000000152,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,2200
Chinatown,mps_hydra,42,20,343,24,2,0.038775332999648526,16.269312000000127,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,2200
Crop,mps_hydra,42,7200,16800,46,24,6.681042665994028,721.584128,0.7358928571428571,0.728759630270725,0.728759630270725,ok,,2200
SyntheticControl,mps_hydra,42,300,300,60,6,0.13269529098761268,87.35948800000006,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,2200
SwedishLeaf,mps_hydra,42,500,625,128,15,0.4184613329998683,98.9265919999998,0.976,0.9761072240505483,0.9758371471811459,ok,,2200
InsectWingbeatSound,mps_hydra,42,220,1980,256,11,1.50925274999463,69.27155200000016,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,2200
FaceFour,mps_hydra,42,24,88,350,4,0.1595861249952577,26.525696000000153,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,2200
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.5200302499870304,-368.3942400000001,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,2200
UWaveGestureLibraryAll,mps_hydra,42,896,3582,945,8,14.522270624991506,-977.9281919999999,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,2200
