dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
GunPointOldVersusYoung,mpshydra,42,136,315,150,2,0.163029874995118,31.96518399999968,1.0,1.0,1.0,ok,
Ham,mpshydra,42,109,105,431,2,0.3120508339998196,55.984128000000055,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,
HandOutlines,mpshydra,42,1000,370,2709,2,16.249182917003054,-784.2365440000003,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,
Haptics,mpshydra,42,155,308,1092,5,1.9752470410021488,71.6472319999998,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,
Herring,mpshydra,42,64,64,512,2,0.19049333299335558,14.352383999999802,0.734375,0.7262893081761006,0.7351100628930818,ok,
HouseTwenty,mpshydra,42,40,119,2000,2,1.2600781670043943,21.004288000000088,0.9495798319327731,0.9482608695652174,0.9495798319327731,ok,
InlineSkate,mpshydra,42,100,550,1882,7,4.827646290999837,22.28224,0.4672727272727273,0.46762928807807536,0.4612665941521447,ok,
InsectEPGRegularTrain,mpshydra,42,62,249,601,3,0.7133213330016588,61.980671999999686,1.0,1.0,1.0,ok,
InsectEPGSmallTrain,mpshydra,42,17,249,601,3,0.5350681249983609,3.457024000000274,1.0,1.0,1.0,ok,
InsectWingbeatSound,mpshydra,42,220,1980,256,11,1.3830262909978046,127.50028800000018,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,
ItalyPowerDemand,mpshydra,42,67,1029,24,2,0.07848520900006406,25.2641279999998,0.967930029154519,0.9679295445422993,0.967929908001464,ok,
LargeKitchenAppliances,mpshydra,42,375,375,720,3,1.7780106249992969,33.8001919999997,0.8453333333333334,0.8458800165563035,0.8458800165563034,ok,
Lightning2,mpshydra,42,60,61,637,2,0.3056455830010236,35.71712000000025,0.7377049180327869,0.7342047930283224,0.7367048823172255,ok,
Lightning7,mpshydra,42,70,73,319,7,0.1819186670036288,35.34028799999987,0.8356164383561644,0.8284779822860318,0.8304089797418608,ok,
Mallat,mpshydra,42,55,2345,1024,8,7.957872999999381,56.59033600000021,0.9437100213219616,0.943069060090566,0.9430972110966555,ok,
Meat,mpshydra,42,60,60,448,3,0.19643995800288394,33.128447999999935,0.9,0.898796325625594,0.8987963256255941,ok,
MedicalImages,mpshydra,42,381,760,99,10,0.2695357909979066,78.47936000000027,0.756578947368421,0.6622529026090315,0.7362133974535857,ok,
MelbournePedestrian,mpshydra,42,1138,2319,24,10,0.22199387499858858,60.01459199999999,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,
MiddlePhalanxOutlineCorrect,mpshydra,42,600,291,80,2,0.18011570799717447,39.3052160000002,0.8419243986254296,0.837311618862421,0.8411712917253465,ok,
MiddlePhalanxOutlineAgeGroup,mpshydra,42,400,154,80,3,0.1053049159963848,13.10719999999992,0.577922077922078,0.48747215338790023,0.5609629913527188,ok,
MiddlePhalanxTW,mpshydra,42,399,154,80,6,0.10035033399617532,15.908863999999994,0.5909090909090909,0.431368763046909,0.5738383796624041,ok,
MixedShapesRegularTrain,mpshydra,42,500,2425,1024,5,9.657669541003997,63.97952000000032,0.9814432989690721,0.9811797387823455,0.9814348564752344,ok,
MixedShapesSmallTrain,mpshydra,42,100,2425,1024,5,8.343681625003228,4.751360000000204,0.965360824742268,0.964743750140807,0.9651791453140454,ok,
MoteStrain,mpshydra,42,20,1252,84,2,0.2823674169994774,39.7148159999997,0.9329073482428115,0.9321761068590046,0.9327273503637206,ok,
NonInvasiveFetalECGThorax1,mpshydra,42,1800,1965,750,42,9.763663916994119,114.45862400000033,0.9399491094147583,0.9352545461841887,0.9383853675557579,ok,
