dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
HouseTwenty,mps_hydra,42,40,119,2000,2,1.2146125840081368,47.43168000000014,0.9495798319327731,0.9482608695652174,0.9495798319327731,ok,,
InlineSkate,mps_hydra,42,100,550,1882,7,4.538499832997331,22.85568000000012,0.4672727272727273,0.46762928807807536,0.4612665941521447,ok,,
InsectEPGRegularTrain,mps_hydra,42,62,249,601,3,0.6834231670072768,56.098815999999715,1.0,1.0,1.0,ok,,
InsectEPGSmallTrain,mps_hydra,42,17,249,601,3,0.5427531249879394,20.611071999999695,1.0,1.0,1.0,ok,,
InsectWingbeatSound,mps_hydra,42,220,1980,256,11,1.327031791995978,32.47308800000019,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.08158720802748576,25.427967999999964,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,
LargeKitchenAppliances,mps_hydra,42,375,375,720,3,1.7165516249951907,12.206079999999929,0.8453333333333334,0.8458800165563035,0.8458800165563034,ok,,
Lightning2,mps_hydra,42,60,61,637,2,0.30285670899320394,36.04479999999967,0.7377049180327869,0.7342047930283224,0.7367048823172255,ok,,
Lightning7,mps_hydra,42,70,73,319,7,0.18382587499218062,50.708480000000236,0.8356164383561644,0.8284779822860318,0.8304089797418608,ok,,
Mallat,mps_hydra,42,55,2345,1024,8,7.961066416988615,-1018.6915839999997,0.9437100213219616,0.943069060090566,0.9430972110966555,ok,,
Meat,mps_hydra,42,60,60,448,3,0.19222874997649342,33.996799999999894,0.9,0.898796325625594,0.8987963256255941,ok,,
MedicalImages,mps_hydra,42,381,760,99,10,0.2737954590120353,66.91225600000007,0.756578947368421,0.6622529026090315,0.7362133974535857,ok,,
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.22889708299771883,59.965439999999944,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,
MiddlePhalanxOutlineCorrect,mps_hydra,42,600,291,80,2,0.17735633300617337,36.96230400000013,0.8419243986254296,0.837311618862421,0.8411712917253465,ok,,
MiddlePhalanxOutlineAgeGroup,mps_hydra,42,400,154,80,3,0.11704958401969634,13.15635199999997,0.577922077922078,0.48747215338790023,0.5609629913527188,ok,,
MiddlePhalanxTW,mps_hydra,42,399,154,80,6,0.10193420900031924,15.908863999999994,0.5909090909090909,0.431368763046909,0.5738383796624041,ok,,
MixedShapesRegularTrain,mps_hydra,42,500,2425,1024,5,9.640081624995219,63.79929600000014,0.9814432989690721,0.9811797387823455,0.9814348564752344,ok,,
MixedShapesSmallTrain,mps_hydra,42,100,2425,1024,5,8.354382958001224,4.784128000000237,0.965360824742268,0.964743750140807,0.9651791453140454,ok,,
MoteStrain,mps_hydra,42,20,1252,84,2,0.2757152089907322,40.79615999999987,0.9329073482428115,0.9321761068590046,0.9327273503637206,ok,,
NonInvasiveFetalECGThorax1,mps_hydra,42,1800,1965,750,42,9.480202666978585,229.67091200000004,0.9399491094147583,0.9352545461841887,0.9383853675557579,ok,,
ACSF1,cpu_optimised_hydra,42,100,100,1460,10,1.3492039169941563,110.41177599999997,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,cpu_optimised_hydra,42,390,391,176,37,1.3590747090056539,131.25222399999996,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,cpu_optimised_hydra,42,300,700,500,10,4.197353416995611,161.3332479999999,0.6942857142857143,0.6977457830075446,0.6977457830075445,ok,,
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,4.198795834003249,0.21299199999998564,0.7157142857142857,0.7131823293682504,0.7131823293682504,ok,,
ACSF1,cpu_optimised_hydra,42,100,100,1460,10,0.968206082994584,68.64895999999999,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,cpu_optimised_hydra,42,390,391,176,37,1.335580166982254,156.46720000000005,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,cpu_optimised_hydra,42,300,700,500,10,1.5767121670069173,134.709248,0.69,0.6926234050728715,0.6926234050728715,ok,,
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,1.5809049170056824,8.175615999999991,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,
AllGestureWiimoteZ,cpu_optimised_hydra,42,300,700,500,10,1.5592686659947503,0.22937600000000202,0.6785714285714286,0.6742459262264614,0.6742459262264614,ok,,
ArrowHead,cpu_optimised_hydra,42,36,175,251,3,0.519628834008472,0.5734400000000051,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,,
Beef,cpu_optimised_hydra,42,30,30,470,5,0.08549154200591147,0.0,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,,
BeetleFly,cpu_optimised_hydra,42,20,20,512,2,0.06445420801173896,0.049152000000049156,0.9,0.898989898989899,0.898989898989899,ok,,
BirdChicken,cpu_optimised_hydra,42,20,20,512,2,0.0684066670073662,0.0,0.9,0.898989898989899,0.898989898989899,ok,,
BME,cpu_optimised_hydra,42,30,150,128,3,0.19102470800862648,0.5898240000000214,1.0,1.0,1.0,ok,,
Car,cpu_optimised_hydra,42,60,60,577,4,0.23135808398365043,0.2785279999999375,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,,
CBF,cpu_optimised_hydra,42,30,900,128,3,0.9780103329976555,0.06553600000006554,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,,
