dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
FaceAll,hydra,42,560,1690,131,14,2.973256124998443,242.4176640000003,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,
FaceFour,hydra,42,24,88,350,4,0.14118445799977053,4.325375999999778,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,
FacesUCR,hydra,42,200,2050,131,14,2.9200283749960363,260.14515200000005,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,
FiftyWords,hydra,42,450,455,270,50,0.87792654200166,0.0,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,
Fish,hydra,42,175,175,463,7,0.5043592500005616,12.943360000000212,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,
FordA,hydra,42,3601,1320,500,2,10.656181499995,-30.73638400000027,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,
FordB,hydra,42,3636,810,500,2,9.888350665998587,21.102592000000186,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,
FreezerRegularTrain,hydra,42,150,2850,301,2,3.2244633340014843,-286.78553599999987,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,
FreezerSmallTrain,hydra,42,28,2850,301,2,3.0624346249969676,-0.049152000000049156,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,
Fungi,hydra,42,18,186,201,18,0.3962570000003325,0.09830400000009831,1.0,1.0,1.0,ok,
GestureMidAirD1,hydra,42,208,130,360,26,0.43935308400250506,5.177344000000176,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,
GestureMidAirD2,hydra,42,208,130,360,26,0.427376292005647,0.016384000000016385,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,
GestureMidAirD3,hydra,42,208,130,360,26,0.4262814169997,0.0,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,
GesturePebbleZ1,hydra,42,132,172,455,6,0.4818993329972727,0.03276800000003277,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,
GesturePebbleZ2,hydra,42,146,158,455,6,0.48397037500399165,0.0,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,
GunPoint,hydra,42,50,150,150,2,0.30569604100310244,0.0,1.0,1.0,1.0,ok,
GunPointAgeSpan,hydra,42,135,316,150,2,0.6774003749960684,0.016384000000016385,1.0,1.0,1.0,ok,
GunPointMaleVersusFemale,hydra,42,135,316,150,2,0.6776206249996903,-1096.843264,1.0,1.0,1.0,ok,
GunPointOldVersusYoung,hydra,42,136,315,150,2,0.6683900839998387,0.0,1.0,1.0,1.0,ok,
Ham,hydra,42,109,105,431,2,0.30196595800225623,0.016384000000016385,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,
HandOutlines,hydra,42,1000,370,2709,2,16.021709917004046,86.70412799999986,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,
Haptics,hydra,42,155,308,1092,5,1.876031415995385,5.079040000000077,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,
Herring,hydra,42,64,64,512,2,0.20268608400510857,0.0,0.734375,0.7262893081761006,0.7351100628930818,ok,
HouseTwenty,hydra,42,40,119,2000,2,1.1395774170014192,7.798784000000069,0.9495798319327731,0.9482608695652174,0.9495798319327731,ok,
InlineSkate,hydra,42,100,550,1882,7,4.505440542001452,53.95251199999984,0.4672727272727273,0.46762928807807536,0.4612665941521447,ok,
InsectEPGRegularTrain,hydra,42,62,249,601,3,0.6915583340014564,0.0,1.0,1.0,1.0,ok,
InsectEPGSmallTrain,hydra,42,17,249,601,3,0.5874325409968151,0.0,1.0,1.0,1.0,ok,
InsectWingbeatSound,hydra,42,220,1980,256,11,1.6348713749976014,175.35795199999984,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,
ItalyPowerDemand,hydra,42,67,1029,24,2,0.20981020800536498,0.06553599999983817,0.967930029154519,0.9679295445422993,0.967929908001464,ok,
ACSF1,mpshydra,42,100,100,1460,10,0.006820707996666897,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 114, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""]
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 55, in run_model
    model = MPSHydraModel(input_dim=input_dim, seed=seed, device=torch.device(""cpu""))
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/mps_hydra.py"", line 36, in __init__
    self.transform = MPSHydra(input_dim, k=k, g=g, seed=seed).to(self.device)
                     ~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/hydra/code/mps_hydra.py"", line 26, in __init__
    self.paddings_list = self.paddings.tolist()
                         ^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py"", line 1965, in __getattr__
    raise AttributeError(
        f""'{type(self).__name__}' object has no attribute '{name}'""
    )
AttributeError: 'MPSHydra' object has no attribute 'paddings'
"
Adiac,mpshydra,42,390,391,176,37,0.0006654999961028807,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 114, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""]
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 55, in run_model
    model = MPSHydraModel(input_dim=input_dim, seed=seed, device=torch.device(""cpu""))
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/mps_hydra.py"", line 36, in __init__
    self.transform = MPSHydra(input_dim, k=k, g=g, seed=seed).to(self.device)
                     ~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/hydra/code/mps_hydra.py"", line 26, in __init__
    self.paddings_list = self.paddings.tolist()
                         ^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py"", line 1965, in __getattr__
    raise AttributeError(
        f""'{type(self).__name__}' object has no attribute '{name}'""
    )
AttributeError: 'MPSHydra' object has no attribute 'paddings'
"
AllGestureWiimoteX,mpshydra,42,300,700,500,10,0.0006901250017108396,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 114, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""]
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 55, in run_model
    model = MPSHydraModel(input_dim=input_dim, seed=seed, device=torch.device(""cpu""))
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/mps_hydra.py"", line 36, in __init__
    self.transform = MPSHydra(input_dim, k=k, g=g, seed=seed).to(self.device)
                     ~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/hydra/code/mps_hydra.py"", line 26, in __init__
    self.paddings_list = self.paddings.tolist()
                         ^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py"", line 1965, in __getattr__
    raise AttributeError(
        f""'{type(self).__name__}' object has no attribute '{name}'""
    )
AttributeError: 'MPSHydra' object has no attribute 'paddings'
"
AllGestureWiimoteY,mpshydra,42,300,700,500,10,0.0006637910046265461,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 114, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""]
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 55, in run_model
    model = MPSHydraModel(input_dim=input_dim, seed=seed, device=torch.device(""cpu""))
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/mps_hydra.py"", line 36, in __init__
    self.transform = MPSHydra(input_dim, k=k, g=g, seed=seed).to(self.device)
                     ~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/hydra/code/mps_hydra.py"", line 26, in __init__
    self.paddings_list = self.paddings.tolist()
                         ^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py"", line 1965, in __getattr__
    raise AttributeError(
        f""'{type(self).__name__}' object has no attribute '{name}'""
    )
AttributeError: 'MPSHydra' object has no attribute 'paddings'
"
AllGestureWiimoteZ,mpshydra,42,300,700,500,10,0.0006572080019395798,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 114, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""]
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 55, in run_model
    model = MPSHydraModel(input_dim=input_dim, seed=seed, device=torch.device(""cpu""))
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/mps_hydra.py"", line 36, in __init__
    self.transform = MPSHydra(input_dim, k=k, g=g, seed=seed).to(self.device)
                     ~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/hydra/code/mps_hydra.py"", line 26, in __init__
    self.paddings_list = self.paddings.tolist()
                         ^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py"", line 1965, in __getattr__
    raise AttributeError(
        f""'{type(self).__name__}' object has no attribute '{name}'""
    )
AttributeError: 'MPSHydra' object has no attribute 'paddings'
"
