dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
Mallat,mps_hydra,42,55,2345,1024,8,8.415915749996202,-400.17920000000004,0.9437100213219616,0.943069060090566,0.9430972110966555,ok,,
Meat,mps_hydra,42,60,60,448,3,0.20692633299040608,27.85279999999989,0.9,0.898796325625594,0.8987963256255941,ok,,
MedicalImages,mps_hydra,42,381,760,99,10,0.4060805839835666,90.8165120000001,0.756578947368421,0.6622529026090315,0.7362133974535857,ok,,
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.3624741660023574,81.28102400000012,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,
MiddlePhalanxOutlineCorrect,mps_hydra,42,600,291,80,2,0.1829124580253847,26.198016000000052,0.8419243986254296,0.837311618862421,0.8411712917253465,ok,,
MiddlePhalanxOutlineAgeGroup,mps_hydra,42,400,154,80,3,0.1057731659966521,16.05632000000014,0.577922077922078,0.48747215338790023,0.5609629913527188,ok,,
MiddlePhalanxTW,mps_hydra,42,399,154,80,6,0.25437758400221355,16.826368000000002,0.5909090909090909,0.431368763046909,0.5738383796624041,ok,,
MixedShapesRegularTrain,mps_hydra,42,500,2425,1024,5,9.637658874999033,86.7205120000001,0.9814432989690721,0.9811797387823455,0.9814348564752344,ok,,
MixedShapesSmallTrain,mps_hydra,42,100,2425,1024,5,8.360130541987019,18.56307199999992,0.965360824742268,0.964743750140807,0.9651791453140454,ok,,
MoteStrain,mps_hydra,42,20,1252,84,2,0.2853731249924749,41.12383999999997,0.9329073482428115,0.9321761068590046,0.9327273503637206,ok,,
NonInvasiveFetalECGThorax1,mps_hydra,42,1800,1965,750,42,9.617302958999062,166.83827199999996,0.9399491094147583,0.9352545461841887,0.9383853675557579,ok,,
NonInvasiveFetalECGThorax2,mps_hydra,42,1800,1965,750,42,9.452911665983265,-2.8016640000000734,0.9592875318066157,0.9558558580592719,0.9589434538083931,ok,,
OliveOil,mps_hydra,42,30,30,570,4,0.18362195798545144,37.289984000000004,0.9666666666666667,0.9759725400457666,0.9668192219679634,ok,,
OSULeaf,mps_hydra,42,200,242,427,6,0.6057819170237053,35.58604800000012,0.987603305785124,0.9849250850261972,0.9875115754896651,ok,,
PhalangesOutlinesCorrect,mps_hydra,42,1800,858,80,2,0.8305137909774203,79.03641600000014,0.8018648018648019,0.7800875669416703,0.7957349135160685,ok,,
Phoneme,mps_hydra,42,214,1896,1024,39,7.130714666011045,-131.33414399999992,0.32436708860759494,0.15720241070867388,0.2846838685784741,ok,,
PickupGestureWiimoteZ,mps_hydra,42,50,50,361,10,0.14529933297308162,26.574847999999974,0.84,0.8344483294483295,0.8344483294483296,ok,,
PigAirwayPressure,mps_hydra,42,104,208,2000,52,2.272168124996824,-51.249152000000095,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,
PigArtPressure,mps_hydra,42,104,208,2000,52,2.273045165988151,-4.702208000000155,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,
PigCVP,mps_hydra,42,104,208,2000,52,2.2630034999747295,-11.14112,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,
PLAID,mps_hydra,42,537,537,1345,11,5.801566916983575,23.658496000000014,0.8621973929236499,0.8106159988314677,0.8569270708459763,ok,,
Plane,mps_hydra,42,105,105,144,7,0.2855613340216223,28.852224000000206,1.0,1.0,1.0,ok,,
PowerCons,mps_hydra,42,180,180,144,2,0.256073041993659,18.23539199999982,0.9722222222222222,0.97222136485694,0.97222136485694,ok,,
ProximalPhalanxOutlineCorrect,mps_hydra,42,600,291,80,2,0.17112295900005847,5.046271999999817,0.9106529209621993,0.8896312288481736,0.9073424182670771,ok,,
